Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
379,David Nwaba,27,BRK,268,6.41003861,3.5,14.4,9.3,2.3,4.1,4.3,14.2,0.088,0.627,7,2.7,0.3,0.4,4.5,1.6,4,SF
380,Anžejs Pasečņiks,24,WAS,437,8.215231204,10,16.4,13.1,1,2.3,5.7,15.8,0.145,0.551,3.1,-4.1,-0.2,1,-0.3,-0.3,4,C
381,Tyson Chandler,37,HOU,219,4.58270489,12.5,20.1,16.3,1.4,3.1,3.5,6,0.252,0.717,5.9,0,0.1,0.6,5.4,3.2,3.9,C
382,Wayne Ellington,32,NYK,558,9.16679724,0.7,11.6,6,1.1,0.6,11,15,0.091,0.509,3.7,-5.4,-0.5,0.6,-2.1,-1.3,3.9,SG
383,Jake Layman,25,MIN,505,8.604054692,3.4,8.6,5.9,1.5,1.7,4.4,17.7,0.111,0.544,3.3,-5.4,-0.4,0.4,-2.4,-0.9,3.9,PF
384,Alex Len,26,SAC,225,7.285458309,15,29.8,22.3,0.6,5.8,5.2,16.5,0.187,0.64,5.4,-1.8,0,0.2,2.6,0.5,3.9,C
385,Jerome Robinson,22,WAS,503,9.521735738,1.6,13.4,7.3,1.4,1.5,11.3,17.7,0.108,0.516,3.9,-3.3,-0.2,1.1,-1.6,-1.8,3.9,SG
386,Chris Chiozza,24,BRK,278,7.208547135,3.8,10.9,7.6,2.2,0.7,29.5,19.7,0.175,0.531,5.6,1.3,0.2,0.4,1.2,0.4,3.8,PG
387,Quinn Cook,26,LAL,508,9.226139535,2.2,8.5,5.3,1.1,0.3,13.8,21,0.13,0.509,0,-6.2,-0.5,0.7,-2.3,-1.6,3.8,PG
388,John Konchar,23,MEM,181,5.755598733,11,17.2,14.1,1.9,1.4,16.2,10.3,0.156,0.713,9.5,4.5,0.3,0.3,6.3,1.7,3.7,SG
389,Glenn Robinson III,26,PHI,270,5.75596101,5.9,11.7,8.8,1.7,0.7,5.9,15.2,0.052,0.598,5.5,-1.6,0,0.5,2.9,1.6,3.7,SF
390,Marko Guduric,24,MEM,484,9.357668962,3.2,13.1,8.2,1.2,1.4,12.3,17.6,0.176,0.514,2.1,-2.9,-0.1,0.7,-2.9,-2.1,3.6,SG
391,Courtney Lee,34,DAL,345,6.067349318,2.3,7.8,5.1,2.9,1.7,4.7,11.9,0.114,0.629,6.3,2.9,0.4,0.9,1.3,1.2,3.6,SG
392,Gary Clark,25,ORL,355,6.583887414,7.8,13.3,10.6,0.5,3.5,1.9,10.1,0.096,0.571,4.9,-2.6,-0.1,0.4,1.2,0.5,3.5,PF
393,Jared Dudley,34,LAL,364,5.895053876,1.7,13.7,7.5,2,0.7,9.5,8,0.116,0.558,4.4,-1.8,0,0.5,2.1,1.1,3.5,SF
394,Tim Frazier,29,DET,355,8.003732211,2.6,7.5,4.9,1.7,1,36.5,17.3,0.256,0.464,-0.4,-7.9,-0.5,0.3,-3,-1,3.5,PG
395,Edmond Sumner,24,IND,447,8.73378444,2.9,8.7,5.9,1.7,1.7,16.7,17.3,0.124,0.491,3,-2.6,-0.1,0.9,-1.8,-1.7,3.5,PG
396,Allen Crabbe,27,ATL,522,7.918160237,2.1,11.6,6.9,1.5,0.7,7.3,12.7,0.075,0.482,3.7,-1.5,0.1,0.4,-3.1,-1.1,3.4,SG
397,Ed Davis,30,UTA,303,6.197315951,12.4,24.1,18.3,1.7,2.6,5.2,9.4,0.2,0.489,4.1,-3,-0.1,0.9,0.8,0.7,3.4,C
398,Sekou Doumbouya,19,DET,754,10.1728823,2.7,14.3,8.2,1.2,1,3.6,16.9,0.12,0.474,0.1,-7.4,-1,0.7,-5,-3.4,3.4,SF
399,Treveon Graham,26,MIN,663,8.53740276,4.4,11.6,7.9,1.1,0.3,6.1,13.1,0.09,0.447,2.3,-6.4,-0.7,0.5,-3.9,-2,3.3,SG
400,James Johnson,32,MIA,281,6.309576642,3.2,16.4,10.1,1.1,4.2,11.1,17,0.139,0.547,4.7,-1.3,0,0.7,0.5,0.3,3.3,PF
401,Anthony Tolliver,34,POR,554,8.714913848,5.3,16.4,10.9,0.7,1.4,6.6,11.2,0.143,0.515,3.7,-1.7,0,1,-2.1,-2.2,3.3,PF
402,Al-Farouq Aminu,29,ORL,380,8.028077764,6.7,17.8,12.3,2.3,1.8,7.4,13.2,0.147,0.395,4.2,-3.3,-0.1,0.4,-4,-1.7,3.2,PF
403,Jordan Bell,25,MIN,235,6.51762287,11.9,23.1,17.3,0.4,3.7,8.6,15.9,0.198,0.57,3.8,-4.9,-0.2,0.2,-0.8,-0.1,3.2,C
404,Dewayne Dedmon,30,ATL,233,6.855314442,6.7,32.2,19.5,2.3,6.1,4.3,17.4,0.103,0.463,4.7,-0.5,0.1,0.2,-2.2,-0.4,3.2,C
